交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,交易時段,價差對單式委託成交量
2023/07/03,ZFF,202307  ,1625,1636,1624,1630.2,10.6,0.65%,714,1630.2,538,1629.6,1630.6,1640.6,1591.8,,一般,,
2023/07/03,ZFF,202308  ,1618,1620.4,1618,1620.4,10.4,0.65%,2,1617.4,7,1618.8,1621.6,1620.4,1618,,一般,,
2023/07/03,ZFF,202309  ,-,-,-,-,-,-,0,1602.2,1,1597.8,1626.4,1369,1369,,一般,,
2023/07/03,ZFF,202312  ,-,-,-,-,-,-,0,1592.6,1,1589.6,1642.6,1495.8,1483,,一般,,
2023/07/03,ZFF,202403  ,-,-,-,-,-,-,0,1589.6,0,1587.6,1640.6,-,-,,一般,,
2023/07/03,ZFF,202406  ,-,-,-,-,-,-,0,1587.8,0,1585.6,1638.6,-,-,,一般,,
2023/07/03,ZEF,202307  ,815.5,825.2,815.5,825.2,14.2,1.75%,2961,825.05,2513,824.85,825.2,830,726,,一般,,
2023/07/03,ZEF,202307  ,810.5,817.75,810,815,4,0.49%,1968,-,-,814.75,815,830,726,,盤後,,
2023/07/03,ZEF,202308  ,817,823.7,817,823.4,13.3,1.64%,26,823.7,52,823.7,824.3,823.7,800,,一般,,
2023/07/03,ZEF,202308  ,809.6,816.6,809.6,813.25,3.15,0.39%,18,-,-,813.6,814.1,821.35,800,,盤後,,
2023/07/03,ZEF,202309  ,820,820,820,820,18.6,2.32%,1,819.85,5,815.2,824.35,832.85,608,,一般,,
2023/07/03,ZEF,202309  ,-,-,-,-,-,-,0,-,-,799.75,814.05,832.85,608,,盤後,,
2023/07/03,ZEF,202312  ,-,-,-,-,-,-,0,812.45,0,806.85,831.2,-,-,,一般,,
2023/07/03,ZEF,202312  ,-,-,-,-,-,-,0,-,-,796.75,821,-,-,,盤後,,
2023/07/03,ZEF,202403  ,-,-,-,-,-,-,0,812.5,0,803.85,829.2,-,-,,一般,,
2023/07/03,ZEF,202403  ,-,-,-,-,-,-,0,-,-,793.75,819,-,-,,盤後,,
2023/07/03,ZEF,202406  ,-,-,-,-,-,-,0,811.1,3,800.85,827.2,781.05,780.85,,一般,,
2023/07/03,ZEF,202406  ,-,-,-,-,-,-,0,-,-,790.75,817,781.05,780.85,,盤後,,
2023/07/03,XJF,202309  ,142.72,143,142.7,143,0.02,0.01%,27,143,219,142.03,143.44,143.28,126.49,,一般,,
2023/07/03,XJF,202309  ,142.94,143.01,142.51,142.51,-0.47,-0.33%,67,-,-,142.09,143.1,143.28,126.49,,盤後,,
2023/07/03,XJF,202312  ,140.97,141,140.97,141,-0.05,-0.04%,2,141,25,140,-,141.11,139.79,,一般,,
2023/07/03,XJF,202312  ,140.9,140.9,140.58,140.58,-0.47,-0.33%,15,-,-,140,141.02,141.11,139.79,,盤後,,
2023/07/03,XJF,202403  ,-,-,-,-,-,-,0,138.79,0,-,-,-,-,,一般,,
2023/07/03,XJF,202403  ,-,-,-,-,-,-,0,-,-,-,-,-,-,,盤後,,
2023/07/03,XJF,202406  ,-,-,-,-,-,-,0,136.93,0,-,-,-,-,,一般,,
